Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	Absolute score
TCGA.D8.A27M	0.12417405848097511	0.11635936266903907	0.09248091991932046	0.17550987690133557	0	0.36267489247034496	0.11357945752730164	0.13991199374722232	0.04313285324949184	0.006409237537101195	0	0	0.039927263040007516	0.09477466878060153	0.3664643011288672	0.2552204363783647	0.05842639089021681	0	0.12284097114481002	0	0	0	0	0.4672768526075629	2.111886683865
TCGA.AO.A0J4	0.19787796060779256	0	0.09642701539575867	0.08315838073941069	0	0.3122402083649478	0.02088137129592444	0.09745078915308095	0.08737002978638653	0.01558171874965476	0	0	0	0.26010390986245085	0.19233742759837782	0.10845272426121487	0	0	0	0	0	0	0.001	0.3864089856368049	1.471881535815
TCGA.A2.A04Q	0.07222879122830002	0.06884041045189342	0.03463962424434305	0.3206117779270071	0	0.2739037128514161	0.15020970516236062	0.23857212920289547	0.07112884341897169	0	0	0.03263508369954029	0	0.3845810678537601	0.2419005735433935	0.16250483332702084	0.09063622262749552	0	0.0633547352185342	0	0	0.019311587503067742	0.048	0.14793938628578399	2.2250590982599996
TCGA.AN.A0AR	0.01792138757206005	0	0	0.02552160469006431	0	0.060908465594300853	0	0.013038162566932509	0.031141442442342477	0	0	0.008518432182073281	0.0044588181722329855	0.09325404876367548	0.030072077426730914	0.07223322629729122	0.05695488832973925	0	0.026240206544056677	0	0	0	0.106	0.09920390861074518	0.4402627605815
TCGA.D8.A1JL	0.03661459353236337	0	0.006934213502760019	0.1412401657981428	0	0.24200601220905535	0.07833177240263824	0.11572740776725375	0.01858505230015106	0	0.056194060518716615	0	0	0.4640855687361371	0.1653549562348677	0.1990659272304708	0	0.026158634251108065	0.030297239941335218	0	0	0	0	0.4925981101468651	1.580595604425
TCGA.EW.A3U0	0.268618444113012	0	0	0.417442798631098	0	0.42650295302027236	0.16371011048724843	0.1560342264999637	0.10301706248928162	0.009356330104645837	0	0.07839006292367481	0.009630577110030106	0.38879030581088386	0.27412731967235865	0.20239774294175153	0.04608112233112182	0	0.11218534527965741	0	0	0	0.039	0.1584600564869005	2.656284401415
TCGA.E2.A158	0.028607503028277918	0	0.012620142415836621	0.03761268357825694	0	0.04260431463746704	0	0.05884254815431552	0	0	0	0.003083170017250977	0.0033612169833416717	0.041912614438714836	0.06692134510347258	0.04201075021077161	0.03222927370199664	0	0.013232920545297608	0	0	0	0.029	0.17567264840498384	0.38303848281499997
TCGA.GM.A2DI	0.19759177454685878	0	0.002990273769938297	0.5902569365640776	0	0.7031114550509803	0.2242374469327619	0	0.02355785563742051	0	0	0	0.023686583968070562	0.20034646167120876	0.1798934810382082	0.21250960756521395	0.04097497530282684	0	0.06111220386243497	0	0	0	0.005	0.30776854716766894	2.460269055910001
TCGA.LL.A5YO	0.2733383651820486	0	0.15030363415759393	0.4070335434464606	0	0.20100270537106277	0.18790043206482843	0.2061997081742893	0.2364926426308428	0.08377167571991341	0	0	0	0.4542701418445813	0.2556420118169047	0.1882215725487309	0.0861005979241964	0	0.1292619811435473	0	0	0	0.007	0.28060591398727663	2.8595390120250004
TCGA.GM.A2DF	0.09881819752119421	0	0.15405197781574867	0.06686820488207941	0	0.17361511161547458	0	0.12145003645031416	0.10717097302700494	0.003893515571569443	0	0.04808413616050873	0	0.38085266306225674	0.12038324911764127	0.15396082783989085	0	0	0	0	0.0055880714763171585	0	0.014	0.22700552858979076	1.43473696454
TCGA.A2.A1G6	0.06897531770591088	0	0.03622309756193669	0.2128529941262817	0	0.11870588171279146	0	0.018946975740070992	0.04924623516064373	0	0	0.0031364725578635518	0.020556033393261102	0	0.014463770303619738	0.21787361710130698	0.17754456524325643	0.0001	0.11174434237280322	0.0036442955897326213	0	0.004626922106436809	0.024	0.19481465533714312	1.058666348735
TCGA.BH.A0B9	0.04176681522257494	0	0	0.3129870471277886	0	0.05710467204858502	0.09689065499914126	0.11300086248317597	0.11847345439064691	0.01656666967845739	0	0.0011524234568420831	0	0.18975893394102433	0.15617243755353788	0.10800878807615617	0.11784909778709207	0	0.04903200054497707	0	0	0	0.001	0.39284559139467823	1.3787638573099996
TCGA.LL.A740	0.009288028921881724	0	0.02013933103829225	0.004371249478411802	0	0.06308689279895584	0.01970886200528281	0.021292770898192318	0.032260231082692166	0	0	0.0030165265002959365	0	0.27991393532508735	0.022860609752972955	0.12733822919917015	0.11929987262301506	0.023425038773926078	0.04934220673732369	0	0	0	0.002	0.3703679240360222	0.7953437851355001
TCGA.AC.A2BK	0.024207360168673916	0	0.0030701137514783454	0.08494192424273973	0	0.024901984878826035	0.00449429218579668	0.018469345332934522	0.0013323782652396058	0	0	0.01695573002436172	0.0002	0.011815443397547285	0.028009249722648823	0.07106132904482229	0.0022479620588298664	0	0.02521205027301898	0	0.0008	0	0.106	0.09990844385086887	0.317685687668
TCGA.A2.A3XX	0.10998433172989883	0	0.006125832918271322	0.01800918147470439	0	0.074547400087087	0.05364275693602268	0.0422937088114806	0.010627382199515643	0.0035046054914921825	0.03980972803082604	0	0	0.3520685908610048	0.11327347322025795	0.1341463799513097	0	0	0.02448650406441378	0	0.0022954685447149864	0	0.033	0.16435662389401803	0.9848153443209999
TCGA.B6.A402	0.01855204095323736	0	0.004466170337604983	0.01363111096722305	0	0.01525035883752111	0	0.007976525934030759	0.01208699114090738	0	0.0029241169349230787	0	0	0.2536753678152973	0.03199418210080267	0.04004992500916316	0	0	0	0.0004	0	0	0.002	0.33908813210903027	0.4010253245745
TCGA.E2.A1LL	0	0.0013097999761418591	0.007244662523898308	0.0035287221840238614	0	0.03708208713019223	0.0015576588156416033	0.0238036261965464	0.006292496490540493	0	0	0.00792291012441481	0	0.09927656003241267	0.050858803619731545	0.07653202724244988	0.050700925613182665	0	0.027212800099323576	0	0	0	0.113	0.09569845223002368	0.3933230800484999
