Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	Absolute score
MB.3058	0.0040995339837608565	0	0.10573080399003516	0	0	0.03830231619767159	0	0.04637232677230847	0.026378875670551707	0.07846188290523952	0	0.059740084613280696	0	0.4305552962700559	0.09116740952034012	0.20284734840347757	0.0035302024165036806	0	0.0658006307670718	0.016041180751600274	0	0	0.003	0.34793450197391546	1.1690278922618973
MB.3057	0	0	0.29153158022955805	0.049082693635736876	0	0.011274993419070895	0.038005375076712145	0.07121243031295302	0.004742316627809523	0	0	0.09331740878528857	0	0.40861453874296033	0.1899764307667987	0.08744672228348183	0	0.002104100113833947	0.012328634060113423	0	0	0	0	0.5276085738499138	1.2596372240543172
MB.3395	0.07212942828892141	0	0.09933657427475566	0.1054025196723053	0	0.29287080076208455	0.050556718923721294	0.035528871281718	0	0.12221551673237245	0	0.1249977769127222	0.040976517770479094	0.13954605272450185	0.2127069672437267	0.13635169068341352	0.05330978809911432	0	0.1598875195623639	0	0	0	0	0.4794373981183774	1.6458167429322001
MB.2857	0.09077435031257228	0	0.003252302997014975	0	0	0.2951283839184523	0.08846919965332192	0.062040919298988695	0	0.183392844538421	0	0.13914602161418216	0.05637165144298481	0.15776891342728883	0.190422995999606	0.20399172381850203	0.034598409911286626	0	0.09174598844417149	0	0	0	0	0.4700445260349038	1.5971037053767931
MB.2827	0.07256650620726059	0	0.11440786077060798	0.10262819798086835	0	0	0.0018372697970918568	0.16184599730583726	0.030981476753940366	0.07896187734789074	0	0.08333928585675726	0.0016691746078552451	0.29455143576888543	0.32476947189146804	0.1384024058966544	0.003966208576317282	0	0	0	0	0	0	0.5369664349345277	1.4099271687614348
MB.3702	0.03098349934480993	0	0.021722350822923772	0.015695139451309365	0.00999720575400329	0.27314926230312475	0.07024905605038902	0.09103157591717276	0	0.15707272080516063	0	0.04348077948976921	0.04924979588170231	0.14767045370562176	0.19414590219574923	0.16985127595726282	0.009794526453262604	0	0.09494163949173542	0	0	0	0.003	0.36348211830777927	1.379035183623997
MB.3502	0	0	0.012952832580270865	0.0971157653935759	0	0.019196271183010417	0.019596801679207198	0.058943573576399295	0.005284167153564894	0.1020960536357869	0	0.10516059517659669	0.030474284513112588	0.28097400528804684	0.21809879700619053	0.3334125527488927	0.0001	0	0.02270041148791711	0	0	0	0.002	0.3764397513363758	1.3060877300796636
MB.0079	0.023587325781896665	0	0.0756640544535856	0.06608471015698669	0	0.20036991359965242	0.047890639545589725	0.08991263574158001	0	0.027025667212097697	0	0.03569121954230824	0.04395948868636121	0	0.10985889215172784	0.12077069388183644	0.029997966819545797	0	0.26389953661756294	0	0	0	0.224	0.07114908481263675	1.1347127441907312
MB.0062	0	0.10114204212941758	0	0	0	0.20220836222461808	0.02768314237963132	0.0866829468661285	0	0.13138966715828537	0	0.009145169486207737	0.10173003243642682	0.11295263302320377	0.2788429769197608	0.06537888057965481	0.04929891490267445	0	0	0.027532962839166064	0.01542886205221022	0	0.034	0.1835213583095679	1.2094165929973855
MB.4015	0	0.010176020841585106	0	0.0425744061569427	0	0	0.0036630047342472768	0.07347845861299564	0.05096098292642021	0.023171012036587755	0.011032196176071206	0.023039583660999636	0	0.5279285963333418	0.013352074214403686	0.23114616814094777	0	0.056486156316856787	0.028658009561587747	0	0	0	0.032	0.19611760842653791	1.0956666697129873
