Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
MB.5070	0	0	0.35990072859511	0.011250555272249	0	0.097058366605391	0.0026268981104284	0.065750652252061	0	0.045874846956219	0	0.034735339659566	0	0.11228221173113	0.10574464385879	0.14284461230608	0.0055534317320916	0	0.016377712920871	0	0	0	0	0.48418132324044516	0.8759364471582414
MB.5138	0.056000611553712	0	0.077259203398168	0.059431033474713	0.042208346488531	0	0.031280657100468	0.079954219067802	0.0054679740798298	0.01469797898372	0	0.075757259078157	0	0.18983639792599	0.20720194506098	0.072425978668065	0	0	0.088478395119865	0	0	0	0.002	0.3998785628317975	0.9198745887196031
MB.5258	0.0045913817909574	0	0.0005	0.027530568585944	0	0.06551060058405	0	0.015186213185445	0.0020935446608042	0	0.011549847499508	0.0079192770850831	0.010030566630609	0.59316561116296	0.10231424849045	0.092163357003166	0	0	0	0.067459907916246	0	0	0	0.6419887982065035	0.766794481135116
MB.5421	0.027506000685694	0	0	0	0	0.082522216904533	0	0.090029787685394	0.024825697536951	0.035054420855706	0	0.020941698938344	0.0013697467600038	0.46614773259113	0.095383999093657	0.10273504251349	0.01439488289842	0.0045660815187386	0.03452269201794	0	0	0	0.117	0.10241487527394502	1.0849798794975607
MB.5348	0.0039507717468144	0.0099085928937687	0.057948250860016	0.048613956707997	0.0080004743394224	0	0	0.10326980092817	0.035884668756105	0.07565114174265	0	0.12468986389559	0	0.21938036347448	0.21142456162066	0.069720245601612	0	0	0.031557307432716	0	0	0	0.001	0.45805047156051537	0.8915875146027891
MB.5100	0.014314111825197	0.0072685286065179	0	0.090110141784135	0.090080093329011	0.06741328482812	0.030052387150438	0.095678621132761	0.0012912396114687	0	0	0.081241687046522	0.014046647046824	0.099755202373555	0.24571926996878	0.070172779909946	0	0	0.092856005386731	0	0	0	0	0.6028855662284158	0.7997420973166949
MB.5446	0.0065342294631664	0	0.023240984479421	0	0	0.1472491117362	0	0.051904766816811	0.059755455357422	0	0	0.05350371839142	0	0.3341502601857	0.10432027912118	0.16279510177826	0	0	0.039099354687684	0.01744673798274	0	0	0.023	0.21671379197887328	1.0119201117340684
MB.5427	0.15183006134493	0	0.016643992989062	0.16367666889808	0	0	0	0.12709683528324	0.012303671388171	0	0	0.0044218708118045	0	0.37198397007267	0.092002514089095	0.05131680953213	0	0	0.0070025680868404	0	0	0.0017210375039785	0.103	0.10877910820443343	1.0661717236754684
MB.5209	0	0.012885316432945	0.18459909662054	0.17636652181153	0	0	0.082752472933873	0.098260395912601	0.068828156918383	0.027247887908589	0	0.068309264668302	0.013162361846516	0.20142787645019	0.05701367546398	0.0052816190653067	0	0	0.0030663033793408	0.0008	0	0	0.004	0.33588161911726955	0.9513151446578534
MB.5223	0.042053188089477	0	0.0030058356935853	0.15858101509685	0	0.089938309974882	0.040618168103103	0.059683674148616	0	0.045654085720379	0	0.021641644583057	0.047247273638355	0.11402500603041	0.14547576347884	0.12070422482359	0	0	0.11137181061886	0	0	0	0	0.5105839918493489	0.8617057368684077
MB.5616	0	0.0047394796999276	0.13719575705462	0.095345338759941	0.033226011631011	0.01856286003861	0	0.13007409289372	0	0	0	0.13823627389928	0.032205020551651	0.15643449320238	0.14776059100962	0.075385145853477	0	0.0075522236983177	0.023282711707445	0	0	0	0	0.4759623210456605	0.8785964765773736
MB.5602	0.0025428351125529	0.027915495738012	0.044822095641418	0.069255272266265	0.055219038353774	0.0043876859401563	0	0.0090538314411906	0.031378227681433	0.089040700026441	0	0.097733746172499	0.0023110292251495	0.18345865355037	0.15658938534361	0.11422649864993	0.030184381018251	0	0.08188112383895	0	0	0	0.001	0.4242032313805642	0.9058328204873113
MB.5634	0.019839099144394	0	0.2335924248246	0.029569051569488	0.0054675970657	0.031974340012075	0.0067781168957659	0.030417510471225	0.025195771837417	0.0080425775166792	0	0.066920936975918	0.0057368913967166	0.32179346081761	0.11231522417285	0.052448507083346	0	0	0.04990849021622	0	0	0	0	0.5399266462732631	0.8420870808258233
MB.5548	0.039043543542124	0	0	0.016383262451439	0.099233804772473	0.021113797864697	0	0.075282395910769	0	0.045873620653331	0	0.043629822747063	0.023718190222893	0.12271292340446	0.24625953926212	0.20360559277583	0.010898360223024	0	0.052245146169789	0	0	0	0.001	0.43446555150289173	0.9044110912661881
MB.5526	0.072804556286702	0	0.10094962506212	0.028646391902062	0	0.12456272061608	0.027251694590486	0.09554881889406	0	0.072926807413461	0	0.051906702462871	0	0.15834053897538	0.14901986103014	0.059297134401031	0.034152777570871	0	0.024592370794745	0	0	0	0.003	0.35641275672321787	0.9382945939550996
MB.5531	0.0020807898118167	0.0079294798255848	0.05133023068138	0.045735294476559	0.0081193382601036	0.074136827727237	0.003654860615772	0.039101933731512	0.020281093384372	0.0096426123973829	0.014739230761347	0.0001	0.019690308393295	0.35799200439701	0.18156507921499	0.13334287886337	0.011302753329693	0	0.019251202744797	0	0	0	0	0.4856722229296113	0.8743555432351535
MB.5551	0.057944577599645	0	0.017610934856553	0	0	0	0.007562685471602	0.080631639829942	0.043493095836722	0	0.042898218238758	0	0	0.50566993601529	0.13744258546542	0.086471144292469	0	0	0.020275182393597	0	0	0	0.014	0.23052615712472505	1.029943277082286
MB.5560	0.02197412573176	0	0	0.0502028950474	0	0.044030156093723	0.013008729527618	0.1156020948519	0	0	0	0.038819785409006	0.12053791544576	0.23692801193458	0.067922062884541	0.20819489973568	0	0.018359020725629	0.064420302612413	0	0	0	0.057	0.152835944106542	1.0259339428617398
MB.5529	0.023182344140849	0	0.017684070119747	0.11014536266107	0.04264523728577	0.091657910311411	0	0.034567425990504	0.01656308863329	0.004317141898038	0	0.081273974356683	0.10335707978627	0.019671877644183	0.098318324138903	0.24683436540488	0.020462030204761	0	0.089319767423642	0	0	0	0.067	0.1423974355995926	1.0258330998515872
MB.4408	0.018590125424996	0	0.052737667085881	0.11507968917944	0	0	0.022407861459802	0.15339249439779	0.11968446143592	0.0022252997057762	0.013033023400561	0.033679735455527	0	0.27882475355243	0.10510910008967	0.041628728825686	0	0	0.043607059986526	0	0	0	0.001	0.42392499209514795	0.9056386706024208
MB.4146	0.084278325468416	0	0.0048258016088256	0.16392173089205	0.16784344934947	0	0.011248703195493	0.091418800220208	0.1079981676559	0	0.06851608345545	0.016643291722749	0.010091893104899	0.13605269158101	0.086832483949893	0	0.0002	0	0.0501427481705	0	0	0	0	0.5092990077463816	0.8597495158517534
MB.2957	0.042819339176263	0	0.08300308212358	0.020367727383976	0	0.032780834920346	0.0074082882097107	0.10370445981138	0	0.059225041151505	0	0.016425192382891	0.032153572441927	0.21634425454667	0.17430521356965	0.18101705374299	0	0	0.030445940539115	0	0	0	0.001	0.42645844789829185	0.9046162348052781
MB.3063	0.0050113578138726	0	0.015387171563406	0	0.004215900846273	0	0	0.074452336303623	0.026872248468171	0.050244149500348	0	0.04522640357984	0	0.32409459162908	0.15603833899267	0.29458279403011	0	0	0.0034000958249037	0	0	0.0005	0.003	0.3650831885255593	0.947555143202109
MB.3046	0.07758611732474	0	0.0034840346743409	0.048632907662871	0.0088651691001249	0.020094975328377	0	0.15274889856769	0	0.03063343008025	0	0.016100164167921	0	0.33735409338794	0.11844275398394	0.1606251986341	0	0	0.025432257087711	0	0	0	0.001	0.4433747956277364	0.896674541389844
MB.3014	0.024776033700891	0	0.082791481119152	0.060065508837028	0	0.053532395448532	0	0.090292551386238	0	0.058357153379513	0	0.030462294344634	0.071257852590304	0.16850623514476	0.23413355532221	0.082450200013351	0	0	0	0.043374738713388	0	0	0.001	0.41579448907667416	0.9140773447757804
MB.3277	0	0.012333410435112	0.038560787161226	0.062335580949266	0	0.010940908117269	0.028722016888907	0.12177091719414	0.0076527393562364	0	0.036507732805685	0.043430073852366	0.044535881988751	0.14692312510807	0.2130558074125	0.16934403369226	0.0026880126371465	0	0.061198972401062	0	0	0	0.001	0.43805906692998503	0.8992537786154295
MB.3271	0.0043119666883868	0	0.053890121323935	0	0	0.10426781691621	0.063881126945627	0.10040535388172	0	0	0.016097591655726	0.066721174159813	0.013633069149126	0.040792695546038	0.20724686541836	0.16004278117728	0.076816700480846	0	0.091892736656923	0	0	0	0.001	0.43891543122879495	0.8978732989894836
MB.3292	0.015494519250379	0	0.2397715466137	0.049531382444355	0.021391710252095	0.03733928712371	0.0050617044632119	0.093046259031903	0	0.023373166146484	0	0.075315579636729	0	0.18171480519329	0.14516044404411	0.094497042863734	0	0	0.018302552936298	0	0	0	0	0.5659782016872444	0.826628171275557
MB.2917	0	0	0.035735682539927	0.0012888747550526	0	0.028336574308559	0.025914619116929	0.12910938954752	0	0.097786445713003	0	0.046586271413291	0.027096016111927	0.17066057795868	0.21735765861694	0.14552790946198	0	0.034877477685908	0.039722502770287	0	0	0	0.002	0.37720671606041	0.9349715615737539
MB.3706	0	0	0.037717877247714	0.015549160089011	0	0.036823419090447	0.0070678661795813	0.043586857671444	0.032869358515145	0	0.046011860879163	0.016546195973192	0.0091110848405535	0.34930217442828	0.093576899577131	0.27258901879292	0	0.026797743822543	0	0.011953629252247	0	0.0005	0.001	0.40672959103621587	0.9200090596514685
MB.3453	0.027707819098861	0	0.1653054306248	0.05351661403232	0	0.010187171801191	0	0.074383679067759	0.022587810282565	0.032175385056687	0	0.048137451323892	0	0.14665764573471	0.12459609034563	0.1659086874897	0	0	0.12829787057355	0.0005	0	0	0.013	0.23606766821155878	0.9903294908634683
MB.2842	0	0	0.14522884353172	0.0092198915792606	0	0.081710225859888	0.042154430728477	0.051540685425599	0	0	0.008175721459357	0.064686569489373	0.071110039668579	0.12624834842409	0.12639249281218	0.14102979457365	0	0.0024146368867631	0.13008831956106	0	0	0	0.037	0.17778003840778003	1.0104700552984305
MB.2912	0.02928578630402	0	0.06680595459173	0.16129023489427	0	0	0.019335233340801	0.13832535580042	0	0.082340035921207	0	0.13526804124018	0.016264715343184	0.082525084404534	0.13692833176656	0.06976021196142	0.031502236232804	0	0.030368778198882	0	0	0	0.002	0.3747416789518917	0.9356559949349028
MB.2849	0.033117179053589	0	0	0.082343088188408	0	0.082459246322556	0.030501908591629	0.12511657211167	0	0.071148505062143	0	0.049724347430963	0	0.14526373360751	0.16076157873218	0.070023790744291	0.038810499149991	0	0.11072955100508	0	0	0	0	0.5126299840182437	0.8593659932606404
MB.3058	0.0035067888549938	0	0.090443354422846	0	0	0.032764244934791	0	0.039667425456021	0.022564795797569	0.067117203468454	0	0.051102360353175	0	0.36830198759158	0.077985658104311	0.1735179714241	0.0030197760377413	0	0.056286621733	0.013721811821413	0	0	0.003	0.34793450197391546	0.9478583153188996
MB.3057	0	0	0.23144090589132	0.038965737673072	0	0.0089509846198263	0.030171683045684	0.056534078981682	0.0037648273147611	0	0	0.074082765262314	0	0.32439065068892	0.15081836828808	0.069422148388107	0	0.0016704016629975	0.0097874481832412	0	0	0	0	0.5276085738499138	0.8487752721615057
MB.3395	0.04382591719198	0	0.060357007972696	0.064042682835101	0	0.17794860941827	0.030718316082779	0.021587379903804	0	0.074258277695384	0	0.075948781934266	0.024897375692919	0.084788329760144	0.12924097908055	0.082847431993241	0.032391083836064	0	0.097147826602801	0	0	0	0	0.4794373981183774	0.87767579684492
MB.2857	0.05683685411722	0	0.0020363755879257	0	0	0.1847897434117	0.05539352225875	0.038845892780865	0	0.11482838836389	0	0.087123973944669	0.035296174727542	0.098784388825939	0.11923020111877	0.12772603502938	0.021663220612918	0	0.057445229220432	0	0	0	0	0.4700445260349038	0.8819972148296414
MB.2827	0.051468265748086	0	0.08114451817473	0.072789715848247	0	0	0.0013030955341515	0.1147903245584	0.021973813570212	0.0560042242588	0	0.059108929669018	0.0011838729296362	0.20891251852933	0.23034485687425	0.098162805117257	0.0028130591878738	0	0	0	0	0	0	0.5369664349345277	0.8429702361655406
MB.3702	0.022467519112448	0	0.015751846712017	0.01138124656839	0.0072494203720977	0.1980727290694	0.050940727897732	0.066011061210164	0	0.11390044479676	0	0.031529855079915	0.035713226512668	0.10708244101326	0.14078386432865	0.12316674583378	0.0071024485593786	0	0.068846422933341	0	0	0	0.003	0.36348211830777927	0.934081859613331
MB.3502	0	0	0.009917276061908	0.074356234391431	0	0.014697535809359	0.015004200122156	0.045129873146273	0.0040457980209665	0.078169368936312	0	0.08051572092342	0.02333249429673	0.2151264412161	0.16698633023135	0.25527577135156	0.0001	0	0.017380464546997	0	0	0	0.002	0.3764397513363758	0.9354361664879427
MB.0079	0.020787045798731	0	0.066681241433971	0.058239153913899	0	0.17658205975518	0.042205077708672	0.079238235581557	0	0.023817188403372	0	0.031453969055193	0.038740631857196	0	0.096816478632289	0.10643283465365	0.026436617525557	0	0.23256946568074	0	0	0	0.224	0.07114908481263675	1.0521463017036288
